rank,symbol,earnings_date,time_of_day,from_date,to_date,from_close,to_close,pct_change
182,XYL,2020-02-06,bmo,2020-02-06,2020-03-20,83.12,59.89,-27.95%
183,GD,2020-01-29,bmo,2020-01-29,2020-03-12,183.47,132.23,-27.93%
184,BMY,2020-02-06,bmo,2020-02-06,2020-03-20,67.10,48.40,-27.87%
185,GLW,2020-01-29,bmo,2020-01-29,2020-03-12,28.35,20.47,-27.80%
186,SWKS,2020-01-23,amc,2020-01-24,2020-03-09,122.31,88.32,-27.79%
187,PSKY,2023-05-04,bmo,2023-05-04,2023-06-16,22.86,16.51,-27.78%
188,EPAM,2020-02-20,bmo,2020-02-20,2020-04-02,238.05,172.02,-27.74%
189,TTD,2021-02-18,amc,2021-02-19,2021-04-05,90.33,65.32,-27.69%
190,MRNA,2024-08-01,bmo,2024-08-01,2024-09-13,94.17,68.28,-27.49%
191,UDR,2020-02-11,amc,2020-02-12,2020-03-26,49.29,35.78,-27.41%
192,STE,2020-02-10,amc,2020-02-11,2020-03-25,162.27,117.82,-27.39%
193,DASH,2022-08-04,bmo,2022-08-04,2022-09-16,81.36,59.13,-27.32%
194,AXP,2020-01-24,bmo,2020-01-24,2020-03-09,135.11,98.29,-27.25%
195,BF-B,2024-12-05,bmo,2024-12-05,2025-01-22,45.38,33.03,-27.21%
196,UBER,2022-05-04,bmo,2022-05-04,2022-06-16,28.10,20.47,-27.15%
197,MRNA,2022-08-03,bmo,2022-08-03,2022-09-15,186.49,135.86,-27.15%
198,SO,2020-02-20,amc,2020-02-21,2020-04-03,68.99,50.27,-27.13%
199,STX,2020-02-04,bmo,2020-02-04,2020-03-18,58.97,42.99,-27.10%
200,NTAP,2020-02-12,amc,2020-02-13,2020-03-27,55.18,40.23,-27.09%
201,IP,2020-01-30,amc,2020-01-31,2020-03-16,38.56,28.14,-27.02%
202,PPL,2020-02-14,bmo,2020-02-14,2020-03-30,35.37,25.83,-26.97%
203,IRM,2020-02-13,bmo,2020-02-13,2020-03-27,33.36,24.37,-26.95%
204,WTW,2020-02-06,bmo,2020-02-06,2020-03-20,208.90,152.63,-26.94%
205,SYK,2020-01-28,amc,2020-01-29,2020-03-12,210.68,154.25,-26.78%
206,SLB,2020-01-17,amc,2020-01-21,2020-03-04,36.95,27.08,-26.71%
207,FTNT,2020-02-06,amc,2020-02-07,2020-03-23,23.42,17.18,-26.64%
208,MTB,2020-01-23,bmo,2020-01-23,2020-03-06,170.37,125.13,-26.55%
209,GNRC,2021-11-02,bmo,2021-11-02,2021-12-15,483.58,355.57,-26.47%
210,MGM,2022-05-02,amc,2022-05-03,2022-06-15,40.85,30.06,-26.41%
211,EFX,2020-02-12,amc,2020-02-13,2020-03-27,162.26,119.55,-26.32%
212,BXP,2023-01-31,bmo,2023-01-31,2023-03-15,74.54,54.93,-26.31%
213,VRSN,2020-02-06,amc,2020-02-07,2020-03-23,205.07,151.17,-26.28%
214,CNP,2020-02-27,bmo,2020-02-27,2020-04-09,24.16,17.81,-26.28%
215,FSLR,2021-11-04,amc,2021-11-05,2021-12-20,116.31,85.76,-26.27%
216,DOC,2022-05-03,bmo,2022-05-03,2022-06-15,33.04,24.37,-26.24%
217,KLAC,2020-02-04,bmo,2020-02-04,2020-03-18,178.80,132.02,-26.16%
218,DVA,2022-05-05,amc,2022-05-06,2022-06-21,102.96,76.05,-26.14%
219,DDOG,2020-02-13,amc,2020-02-14,2020-03-30,47.03,34.75,-26.11%
220,PPG,2022-01-20,amc,2022-01-21,2022-03-07,154.74,114.50,-26.00%
221,PRU,2023-02-07,amc,2023-02-08,2023-03-23,104.34,77.23,-25.98%
222,LVS,2020-01-29,amc,2020-01-30,2020-03-13,66.20,49.01,-25.97%
223,HII,2020-02-13,bmo,2020-02-13,2020-03-27,250.36,185.59,-25.87%
224,PLD,2022-04-19,bmo,2022-04-19,2022-06-01,169.56,125.86,-25.77%
225,APA,2020-07-29,amc,2020-07-30,2020-09-11,16.01,11.89,-25.73%
226,INTC,2020-01-23,amc,2020-01-24,2020-03-09,68.47,50.85,-25.73%
227,NDSN,2020-02-19,amc,2020-02-20,2020-04-02,172.10,127.90,-25.68%
228,MPWR,2020-02-05,amc,2020-02-06,2020-03-20,181.86,135.22,-25.65%
229,CAH,2020-02-06,bmo,2020-02-06,2020-03-20,58.26,43.33,-25.63%
230,LDOS,2020-02-18,bmo,2020-02-18,2020-03-31,123.22,91.65,-25.62%
231,BKR,2020-01-22,bmo,2020-01-22,2020-03-05,22.68,16.96,-25.22%
232,HOLX,2020-01-29,amc,2020-01-30,2020-03-13,54.23,40.58,-25.17%
233,MTD,2020-02-06,amc,2020-02-07,2020-03-23,787.15,589.41,-25.12%
234,KEY,2020-01-23,bmo,2020-01-23,2020-03-06,19.83,14.87,-25.01%
235,AEP,2020-02-20,bmo,2020-02-20,2020-04-02,102.38,76.79,-25.00%
236,CHTR,2020-01-31,bmo,2020-01-31,2020-03-16,517.46,389.11,-24.80%
237,PFG,2023-01-30,amc,2023-01-31,2023-03-15,92.55,69.69,-24.70%
238,GOOG,2020-02-03,bmo,2020-02-03,2020-03-17,74.30,55.99,-24.64%
239,EW,2020-01-30,amc,2020-01-31,2020-03-16,73.29,55.24,-24.62%
240,MA,2020-01-29,bmo,2020-01-29,2020-03-12,320.32,241.50,-24.61%
241,GOOGL,2020-02-03,bmo,2020-02-03,2020-03-17,74.13,55.90,-24.59%
242,PHM,2020-01-28,bmo,2020-01-28,2020-03-11,46.84,35.34,-24.55%
243,GDDY,2020-02-13,amc,2020-02-14,2020-03-30,78.39,59.16,-24.53%
244,NVR,2020-01-28,amc,2020-01-29,2020-03-12,3898.56,2947.20,-24.40%
245,ADM,2020-01-29,amc,2020-01-30,2020-03-13,45.80,34.64,-24.37%
246,SMCI,2022-05-03,amc,2022-05-04,2022-06-16,5.67,4.29,-24.34%
247,TPR,2022-08-18,bmo,2022-08-18,2022-09-30,37.57,28.43,-24.33%
248,APTV,2020-01-30,bmo,2020-01-30,2020-03-13,87.68,66.47,-24.19%
249,BXP,2022-05-02,amc,2022-05-03,2022-06-15,121.38,92.04,-24.17%
250,MCHP,2024-11-05,amc,2024-11-06,2024-12-19,73.75,55.99,-24.08%
251,DOC,2023-02-07,amc,2023-02-08,2023-03-23,26.72,20.30,-24.03%
252,HPE,2020-03-03,amc,2020-03-04,2020-04-16,12.26,9.32,-23.98%
253,TTD,2020-02-27,amc,2020-02-28,2020-04-13,28.73,21.86,-23.91%
254,ADP,2020-01-29,bmo,2020-01-29,2020-03-12,171.04,130.28,-23.83%
255,CFG,2020-01-17,bmo,2020-01-17,2020-03-03,40.87,31.15,-23.78%
256,ROK,2020-01-29,bmo,2020-01-29,2020-03-12,196.17,149.59,-23.74%
257,DVN,2024-11-05,amc,2024-11-06,2024-12-19,40.02,30.52,-23.74%
258,DOV,2020-01-30,bmo,2020-01-30,2020-03-13,118.92,90.75,-23.69%
259,RSG,2020-02-13,amc,2020-02-14,2020-03-30,100.43,76.65,-23.68%
260,LNT,2020-02-20,amc,2020-02-21,2020-04-03,59.14,45.15,-23.66%
261,DE,2020-02-21,bmo,2020-02-21,2020-04-03,177.43,135.52,-23.62%
262,V,2020-01-30,amc,2020-01-31,2020-03-16,198.97,152.01,-23.60%
263,BX,2020-01-30,bmo,2020-01-30,2020-03-13,61.11,46.72,-23.55%
264,ULTA,2024-03-14,amc,2024-03-15,2024-04-29,535.98,410.04,-23.50%
265,AVY,2020-01-29,bmo,2020-01-29,2020-03-12,136.23,104.22,-23.50%
266,DDOG,2022-05-05,bmo,2022-05-05,2022-06-17,111.87,85.63,-23.46%
267,SYF,2020-01-24,bmo,2020-01-24,2020-03-09,32.63,25.02,-23.32%
268,COIN,2024-08-01,bmo,2024-08-01,2024-09-13,212.64,163.05,-23.32%
269,WM,2020-02-13,bmo,2020-02-13,2020-03-27,124.23,95.30,-23.29%
270,FIS,2023-02-13,bmo,2023-02-13,2023-03-28,66.00,50.65,-23.26%
271,TJX,2020-02-26,bmo,2020-02-26,2020-04-08,63.99,49.11,-23.25%
272,NDAQ,2020-01-29,bmo,2020-01-29,2020-03-12,38.45,29.54,-23.17%
273,GNRC,2020-02-13,bmo,2020-02-13,2020-03-27,115.75,88.96,-23.14%
274,APA,2024-07-31,amc,2024-08-01,2024-09-13,31.08,23.94,-22.97%
275,NTRS,2020-01-22,bmo,2020-01-22,2020-03-05,104.99,80.89,-22.95%
276,AIZ,2020-02-11,amc,2020-02-12,2020-03-26,136.69,105.35,-22.93%
277,APO,2020-01-30,bmo,2020-01-30,2020-03-13,46.63,35.95,-22.90%
278,ZTS,2020-02-13,bmo,2020-02-13,2020-03-27,144.94,111.77,-22.89%
279,LULU,2021-12-09,bmo,2021-12-09,2022-01-24,416.92,321.62,-22.86%
280,COIN,2022-08-09,bmo,2022-08-09,2022-09-21,87.68,67.64,-22.86%
281,WSM,2021-11-18,bmo,2021-11-18,2022-01-03,109.45,84.44,-22.85%
282,BLDR,2022-08-01,bmo,2022-08-01,2022-09-13,73.34,56.61,-22.81%
283,TER,2020-01-22,amc,2020-01-23,2020-03-06,76.21,58.92,-22.69%
284,LII,2020-02-04,bmo,2020-02-04,2020-03-18,239.01,184.85,-22.66%
285,HCA,2020-01-28,bmo,2020-01-28,2020-03-11,145.50,112.59,-22.62%
286,ALB,2023-02-15,amc,2023-02-16,2023-03-31,285.62,221.04,-22.61%
287,HOOD,2022-04-28,bmo,2022-04-28,2022-06-10,10.09,7.81,-22.60%
288,AON,2020-01-31,bmo,2020-01-31,2020-03-16,220.25,170.53,-22.57%
289,ODFL,2020-02-06,bmo,2020-02-06,2020-03-20,72.62,56.23,-22.57%
290,JCI,2020-01-31,bmo,2020-01-31,2020-03-16,39.45,30.60,-22.43%
291,PLTR,2022-08-08,bmo,2022-08-08,2022-09-20,9.82,7.62,-22.40%
292,AMCR,2020-02-11,amc,2020-02-12,2020-03-26,10.47,8.13,-22.35%
293,LRCX,2020-07-29,amc,2020-07-30,2020-09-11,37.85,29.40,-22.32%
294,WDC,2022-08-05,bmo,2022-08-05,2022-09-19,35.58,27.67,-22.23%
295,FIS,2020-02-13,bmo,2020-02-13,2020-03-27,154.32,120.10,-22.17%
296,AJG,2020-01-30,amc,2020-01-31,2020-03-16,102.57,79.85,-22.15%
297,PLTR,2021-11-09,bmo,2021-11-09,2021-12-22,24.25,18.88,-22.14%
298,PAYC,2021-11-02,amc,2021-11-03,2021-12-16,512.33,399.37,-22.05%
299,ABNB,2021-11-04,amc,2021-11-05,2021-12-20,201.62,157.23,-22.02%
300,LULU,2022-03-29,amc,2022-03-30,2022-05-12,376.92,294.00,-22.00%
301,AMD,2022-08-02,bmo,2022-08-02,2022-09-14,99.29,77.45,-22.00%
302,MRNA,2022-05-04,bmo,2022-05-04,2022-06-16,155.05,121.08,-21.91%
303,HON,2020-01-31,bmo,2020-01-31,2020-03-16,173.22,135.27,-21.91%
304,GEN,2023-02-02,amc,2023-02-03,2023-03-20,21.30,16.64,-21.88%
305,AIG,2022-05-03,amc,2022-05-04,2022-06-16,63.94,49.97,-21.85%
306,VMC,2022-05-04,bmo,2022-05-04,2022-06-16,185.43,144.93,-21.84%
307,PTC,2020-01-22,amc,2020-01-23,2020-03-06,85.07,66.52,-21.81%
308,REG,2022-05-03,amc,2022-05-04,2022-06-16,72.96,57.09,-21.75%
309,BXP,2020-01-28,amc,2020-01-29,2020-03-12,142.93,111.89,-21.72%
