rank,symbol,earnings_date,time_of_day,from_date,to_date,from_close,to_close,pct_change
185,FCX,2024-10-22,amc,2024-10-23,2024-12-05,47.92,42.79,-10.71%
186,MNST,2024-05-02,amc,2024-05-03,2024-06-17,55.00,49.13,-10.67%
187,EOG,2024-11-08,bmo,2024-11-08,2024-12-23,134.12,119.85,-10.64%
188,AES,2024-10-31,amc,2024-11-01,2024-12-16,14.71,13.15,-10.61%
189,AVGO,2024-06-12,amc,2024-06-13,2024-07-29,167.90,150.22,-10.53%
190,BKR,2024-07-25,amc,2024-07-26,2024-09-09,37.65,33.69,-10.52%
191,VRTX,2024-11-04,amc,2024-11-05,2024-12-18,499.88,447.50,-10.48%
192,EL,2024-05-01,bmo,2024-05-01,2024-06-13,127.37,114.09,-10.43%
193,LYB,2024-11-01,amc,2024-11-04,2024-12-17,84.19,75.44,-10.39%
194,COP,2024-05-02,amc,2024-05-03,2024-06-17,122.23,109.54,-10.38%
195,IT,2024-11-05,amc,2024-11-06,2024-12-19,536.90,481.22,-10.37%
196,WAT,2024-05-07,amc,2024-05-08,2024-06-21,323.80,290.27,-10.36%
197,LMT,2024-10-22,bmo,2024-10-22,2024-12-04,576.98,517.50,-10.31%
198,KHC,2024-05-01,bmo,2024-05-01,2024-06-13,36.28,32.54,-10.31%
199,HUM,2024-07-31,bmo,2024-07-31,2024-09-12,361.61,324.50,-10.26%
200,MDLZ,2024-10-29,amc,2024-10-30,2024-12-12,69.79,62.63,-10.26%
