rank,symbol,year,quarter,earnings_date,category,session,predicted,confidence,confidence_normalized,csv_t30_change,t30_actual,hit_result,status,elapsed_seconds,from_date,to_date,from_close,to_close,tag_financials,tag_past,tag_peers,main_summary,notes_financials,notes_past,notes_peers,raw_output,error
104,MAR,2020,2,2020-08-10,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
105,EQR,2020,2,2020-07-29,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
106,EMR,2025,1,2025-02-05,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
107,AIG,2023,2,2023-08-02,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
108,ARE,2024,2,2024-07-24,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
109,IR,2021,4,2022-02-24,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
110,SBAC,2024,1,2024-04-30,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
111,STE,2021,1,2020-08-04,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
112,EXPE,2025,2,2025-08-08,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
113,HSY,2024,4,2025-02-06,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
114,BMY,2023,3,2023-10-26,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
115,FFIV,2021,1,2021-01-27,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
116,BA,2024,2,2024-07-31,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
117,WST,2023,1,2023-04-27,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
118,PPL,2025,1,2025-04-30,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
119,UAL,2021,1,2021-04-20,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
120,SCHW,2024,3,2024-10-15,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
121,NCLH,2021,1,2021-05-06,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
